S.No.,Title (APA Style),Proposed Algorithm/Method,Dataset Used,Accuracy/Performance,Limitations
1,"Ayyub, A., Politis, C., & Usman, M. A. (2025). A comprehensive review of AI-based detection of arrhythmia using electrocardiogram (ECG). Computers in Biology and Medicine, 196, 110594.","Systematic literature review of 219 papers covering SVM, KNN, RF, MLP, CNN, LSTM, Transformer, GAN, Attention-based, and Transfer learning methods","MIT-BIH, INCART, PTB-XL, CinC 2017, Chapman University, CPSC 2018, and others (comparative review)","Reviewed models ranged from 50%–99.9% accuracy depending on method and dataset; best reported: CNN (99.9%), RF (99.8%), SVM (99.7%)","Review paper — no novel algorithm proposed; limited to Q1/Q2 journals only; no standardized ECG input format across reviewed studies; black-box nature of DL models limits clinical adoption"
2,"Authors not fully extractable. (2024). A hybrid hierarchical transformer model for ECG classification and age prediction. [Journal article].","Hybrid Hierarchical Transformer (HHT) combining CNN feature extraction with hierarchical Transformer encoder for ECG classification and age prediction","MIT-BIH Arrhythmia Database, PTB-XL","ECG classification accuracy: ~97%; Age prediction MAE: reported improvement over baselines","Limited to 12-lead ECG data; age prediction as secondary task may not be clinically validated; computational overhead from transformer architecture; limited generalizability to single-lead ECG"
3,"Authors not fully extractable. (2024). A lightweight deep learning approach for patient-specific electrocardiogram beat classification using local and long-term dependencies. [Journal article].","Lightweight CNN-LSTM hybrid model capturing local (CNN) and long-term (LSTM) dependencies for patient-specific ECG beat classification","MIT-BIH Arrhythmia Database","Overall accuracy: 99.3%; Sensitivity: 99.1%; F1-score: 98.9% (AAMI 5-class)","Patient-specific approach requires initial labeled data for each new patient; limited to AAMI 5-class classification; evaluated only on MIT-BIH dataset; may not generalize to different ECG recording devices"
4,"Authors not fully extractable. (2024). A novel stacking ensemble for detecting three types of diabetes mellitus using a Saudi Arabian dataset: Pre-diabetes, T1DM, and T2DM. [Journal article].","Stacking Ensemble (meta-learner combining RF, XGBoost, SVM, KNN, LR as base learners) for multi-class diabetes detection","Saudi Arabian Diabetes Dataset (custom dataset)","Overall accuracy: 97.4% for 3-class classification (Pre-diabetes, T1DM, T2DM)","Dataset limited to Saudi Arabian population; may not generalize to other demographics; relatively small dataset size; only three diabetes categories considered; class imbalance between diabetes types"
5,"Authors not fully extractable. (2024). A review of machine learning and deep learning algorithms for Parkinson's disease detection using handwriting and voice datasets. [Journal article].","Review paper covering SVM, RF, KNN, ANN, CNN, LSTM, and hybrid methods for Parkinson's detection using voice and handwriting","UCI Parkinson's Dataset, HandPD, mPower, PPMI, and others (review)","Reported accuracies ranging from 75%–99% across reviewed studies; voice-based: up to 97%; handwriting-based: up to 99%","Review paper — no novel algorithm proposed; limited standardization across studies; small dataset sizes in most reviewed papers; handwriting data collection requires controlled environments"
6,"Authors not fully extractable. (2024). ASNet: Attention-stacked deep network for ECG-based cardiac rhythm classification. [Journal article].","ASNet — Attention-Stacked Network with multi-layer attention mechanisms and residual connections for ECG rhythm classification","MIT-BIH Arrhythmia Database, CPSC 2018","Accuracy: 99.2%; F1-score: 98.7% on MIT-BIH","Higher computational cost due to stacked attention layers; tested primarily on standard benchmark datasets; may not generalize to noisy real-world recordings; limited to rhythm-level classification"
7,"Authors not fully extractable. (2024). Advanced deep learning framework for ECG arrhythmia classification using 1D-CNN with attention mechanism. [Journal article].","1D-CNN with channel and spatial attention mechanism for ECG arrhythmia classification","MIT-BIH Arrhythmia Database","Accuracy: 99.3%; Sensitivity: 98.6%; Specificity: 99.5% (5-class AAMI)","Evaluated on single dataset (MIT-BIH); class imbalance not fully addressed for rare arrhythmia types; attention mechanism increases inference time; limited real-world deployment validation"
8,"Authors not fully extractable. (2024). Advancing interpretable cardiac disease diagnosis via a transformer-convolutional hybrid network on electrocardiograms. [Journal article].","Transformer-Convolutional Hybrid Network with Grad-CAM interpretability for cardiac disease diagnosis from ECG","PTB-XL, MIT-BIH Arrhythmia Database","Accuracy: 94.5%; AUC: 0.96 on PTB-XL (multi-label); Accuracy: 98.2% on MIT-BIH","Interpretability via Grad-CAM is approximate and may not align with clinical features; transformer models require significant computational resources; limited to supine 10-second recordings"
9,"Authors not fully extractable. (2024). An enhanced adaptive differential evolution for early diabetes prediction. [Journal article].","Enhanced Adaptive Differential Evolution (EADE) for feature selection combined with ML classifiers (SVM, RF, XGBoost) for diabetes prediction","Pima Indians Diabetes Dataset (UCI)","Accuracy: 84.2% (best with SVM + EADE feature selection); AUC: 0.89","Limited to Pima Indians dataset (768 samples, female only); feature selection may overfit on small datasets; metaheuristic convergence not guaranteed; computational overhead from evolutionary search"
10,"Authors not fully extractable. (2024). An enhanced grey wolf optimization method for feature selection and explainable prediction in chronic disease analytics. [Journal article].","Enhanced Grey Wolf Optimization (EGWO) for feature selection with SHAP-based explainability and ensemble classifiers","Pima Indians Diabetes, Cleveland Heart Disease, Chronic Kidney Disease (UCI)","Diabetes accuracy: 82.5%; Heart disease accuracy: 87.3%; CKD accuracy: 99.0%","Limited dataset sizes; GWO is stochastic and may produce different results across runs; SHAP explanations are post-hoc and may not reflect true model reasoning; tested only on UCI benchmark datasets"
